ensembl_gene_id	MTLE1_FPKM	MTLE2_FPKM	CTRL3_FPKM	hgnc_symbol	chromosome_name	start_position	end_position
ENSG00000077264	1.69596	2.36463	3.08708	PAK3	X	110944285	111227361
ENSG00000077721	6.61439	5.93622	6.87575	UBE2A	X	119574467	119591083
ENSG00000078061	4.40582	9.14854	2.5961	ARAF	X	47561100	47571920
ENSG00000078596	34.9722	32.4189	8.25825	ITM2A	X	79360384	79367667
ENSG00000079482	1.62326	1.85975	6.69069	OPHN1	X	68042344	68433913
ENSG00000083750	4.38015	2.38298	9.57984	RRAGB	X	55717739	55758774
ENSG00000085224	2.6572	4.10433	11.4456	ATRX	X	77504878	77786233
ENSG00000086758	4.83984	24.1763	9.13439	HUWE1	X	53532096	53686729
ENSG00000087842	10.0584	4.30306	3.60182	PIR	X	15384799	15493564
ENSG00000089289	3.98831	3.39159	3.78583	IGBP1	X	70133449	70166324
ENSG00000089472	1.51978	1.10451	1.14225	HEPH	X	66162549	66268867
ENSG00000089820	3.02443	4.40622	3.07302	ARHGAP4	X	153907367	153934999
ENSG00000094631	16.8446	16.4305	13.0598	HDAC6	X	48801377	48824982
ENSG00000094841	5.72918	2.27709	1.8404	UPRT	X	75274085	75304600
ENSG00000101843	6.81805	6.20561	9.95999	PSMD10	X	108084207	108091618
ENSG00000101849	1.78503	6.12186	3.66788	TBL1X	X	9463295	9741037
ENSG00000101856	28.9226	21.2649	9.32112	PGRMC1	X	119236245	119244466
ENSG00000101882	4.75136	1.31756	2.96891	NKAP	X	119920672	119943772
ENSG00000101888	1.75394	1.81648	2.30658	NXT2	X	109535781	109544690
ENSG00000101901	11.7236	5.91514	8.19061	ALG13	X	111665811	111760649
ENSG00000101940	37.6071	33.4559	26.5513	WDR13	X	48590042	48608867
ENSG00000101966	7.22879	10.3238	8.91275	XIAP	X	123859724	123913979
ENSG00000101972	17.3297	27.2387	12.5547	STAG2	X	123960212	124422664
ENSG00000102003	24.1453	18.4637	8.19402	SYP	X	49187804	49200259
ENSG00000102024	16.6812	13.3477	15.3855	PLS3	X	115561174	115650861
ENSG00000102030	8.41336	10.1333	8.4184	NAA10	X	153929242	153935223
ENSG00000102038	2.11693	3.44899	1.10109	SMARCA1	X	129446501	129523500
ENSG00000102054	11.8037	62.5349	11.3349	RBBP7	X	16839283	16870414
ENSG00000102078	6.38997	2.05111	2.25533	SLC25A14	X	130339888	130373361
ENSG00000102081	7.96474	53.7491	10.6698	FMR1	X	147911951	147951125
ENSG00000102103	16.0756	11.2425	15.7028	PQBP1	X	48897912	48903143
ENSG00000102109	49.9339	63.9516	54.9825	PCSK1N	X	48831094	48835633
ENSG00000102119	8.24608	10.225	4.85275	EMD	X	154379197	154381523
ENSG00000102125	4.25674	6.16488	2.43062	TAZ	X	154411518	154421726
ENSG00000102144	15.1471	13.0968	7.5013	PGK1	X	77910739	78129296
ENSG00000102158	1.47685	2.33195	1.31031	MAGT1	X	77826364	77895593
ENSG00000102172	10.1897	10.799	10.3985	SMS	X	21940573	21994835
ENSG00000102178	3.3753	2.08733	2.63788	UBL4A	X	154483717	154486670
ENSG00000102181	5.00777	5.75116	5.10444	CD99L2	X	150766337	150898816
ENSG00000102225	12.8092	21.1775	12.8316	CDK16	X	47217860	47229997
ENSG00000102226	14.9583	17.1107	7.58432	USP11	X	47232690	47248328
ENSG00000102241	9.20417	5.61013	7.6559	HTATSF1	X	136497079	136512346
ENSG00000102265	12.1184	9.60171	2.42913	TIMP1	X	47582313	47586789
ENSG00000102271	1.04247	2.30013	2.22097	KLHL4	X	87517749	87670050
ENSG00000102309	12.9812	11.7664	5.39706	PIN4	X	72181353	72302926
ENSG00000102312	5.61147	10.2334	2.12036	PORCN	X	48508962	48520814
ENSG00000102316	8.81214	31.5181	4.89752	MAGED2	X	54807599	54816012
ENSG00000102317	29.2464	21.2175	10.7487	RBM3	X	48574449	48579066
ENSG00000102390	2.17107	1.04082	4.11748	PBDC1	X	76172936	76178204
ENSG00000102393	1.82271	4.44702	1.51347	GLA	X	101397803	101408012
ENSG00000102401	8.28733	6.762	10.7999	ARMCX3	X	101622797	101627843
ENSG00000102409	35.2202	34.0683	26.5975	BEX4	X	103215092	103217246
ENSG00000120509	8.61054	6.90544	9.3759	PDZD11	X	70286595	70290514
ENSG00000123560	455.073	687.366	436.14	PLP1	X	103773718	103792619
ENSG00000123562	40.3508	56.6155	27.1988	MORF4L2	X	103675496	103688158
ENSG00000123575	3.68071	3.82876	6.21815	FAM199X	X	104166620	104195902
ENSG00000123595	4.40984	1.92245	2.72637	RAB9A	X	13689125	13710506
ENSG00000123728	6.1206	9.72702	3.96901	RAP2C	X	132203024	132219480
ENSG00000124313	2.99457	5.97486	3.18179	IQSEC2	X	53225828	53321350
ENSG00000124333	6.89062	7.63098	6.18002	VAMP7	X	155881293	155943769
ENSG00000124479	1.16819	2.372	1.71734	NDP	X	43948776	43973504
ENSG00000124486	1.59696	30.4021	2.44415	USP9X	X	41085635	41236579
ENSG00000125351	2.02953	1.56506	1.96015	UPF3B	X	119805311	119852998
ENSG00000125356	51.1967	34.8804	28.893	NDUFA1	X	119871487	119876662
ENSG00000125675	4.4741	7.44888	2.55468	GRIA3	X	123184153	123490915
ENSG00000125676	12.1616	31.4762	14.7334	THOC2	X	123600561	123733056
ENSG00000126012	1.59737	2.56758	1.67619	KDM5C	X	53191321	53225422
ENSG00000126016	4.96905	3.98026	7.21344	AMOT	X	112774503	112840815
ENSG00000126756	14.2013	15.0759	16.0558	UXT	X	47651798	47659161
ENSG00000126767	1.83005	2.99336	3.2873	ELK1	X	47635521	47650604
ENSG00000126768	4.97952	3.36913	5.41758	TIMM17B	X	48893447	48898143
ENSG00000126945	23.538	24.6665	26.0945	HNRNPH2	X	101408295	101414133
ENSG00000126950	4.06676	1.69138	1.53447	TMEM35A	X	101078720	101096364
ENSG00000126970	1.82443	1.18291	5.72598	ZC4H2	X	64915802	65034713
ENSG00000129675	4.14115	4.77402	1.87202	ARHGEF6	X	136665547	136782088
ENSG00000129682	23.1224	26.0309	14.2363	FGF13	X	138614731	139222777
ENSG00000130066	44.1292	34.4571	47.2159	SAT1	X	23783173	23786226
ENSG00000130150	3.2727	1.86621	2.6159	MOSPD2	X	14873441	14922327
ENSG00000130741	6.02863	6.0623	21.9737	EIF2S3	X	24054716	24077971
ENSG00000130821	6.82399	28.0661	5.62416	SLC6A8	X	153688099	153696593
ENSG00000130822	6.24412	16.0501	1.85217	PNCK	X	153669730	153689010
ENSG00000130830	5.82194	9.88441	2.36218	MPP1	X	154778684	154821007
ENSG00000130962	3.49092	3.10181	7.99572	PRRG1	X	37349275	37457295
ENSG00000130985	8.05729	7.9531	5.08273	UBA1	X	47190861	47215128
ENSG00000130988	9.96813	2.6431	3.31271	RGN	X	47078355	47093314
ENSG00000131089	4.57036	15.1827	9.36188	ARHGEF9	X	63634967	63809274
ENSG00000131171	62.1496	42.4196	83.2823	SH3BGRL	X	81201943	81298547
ENSG00000131174	55.4678	33.5821	47.3503	COX7B	X	77899438	77907373
ENSG00000131263	1.3169	1.56365	1.25581	RLIM	X	74585217	74614617
ENSG00000131724	2.51398	1.46062	2.16523	IL13RA1	X	118727572	118794539
ENSG00000131828	16.6731	7.57566	20.8747	PDHA1	X	19343893	19361705
ENSG00000133134	27.9756	19.8535	18.2586	BEX2	X	103309346	103311046
ENSG00000133142	28.2223	19.1682	21.5284	TCEAL4	X	103576231	103587736
ENSG00000133169	34.6682	29.3442	31.6825	BEX1	X	103062651	103064240
ENSG00000134590	58.7194	47.314	34.1273	RTL8C	X	135032366	135033546
ENSG00000134597	4.76642	1.68159	8.99839	RBMX2	X	130401969	130413343
ENSG00000147010	4.96322	2.72059	3.6839	SH3KBP1	X	19533975	19887601
ENSG00000147027	8.3529	4.04049	3.78715	TMEM47	X	34627064	34657288
ENSG00000147044	5.21692	9.76082	9.37349	CASK	X	41514934	41923645
ENSG00000147050	1.97159	22.328	2.71526	KDM6A	X	44873177	45112602
ENSG00000147065	10.2145	4.62732	7.03167	MSN	X	65588377	65741931
ENSG00000147099	3.17856	31.0536	16.6062	HDAC8	X	72329516	72573199
ENSG00000147123	10.8358	10.3347	9.28188	NDUFB11	X	47142216	47145504
ENSG00000147140	26.9069	30.7485	16.7466	NONO	X	71283192	71301168
ENSG00000147155	6.13386	4.59672	1.55155	EBP	X	48521158	48528716
ENSG00000147162	3.38262	22.2052	1.87149	OGT	X	71533083	71575897
ENSG00000147164	4.6346	2.95017	4.43491	SNX12	X	71056332	71073426
ENSG00000147224	4.93541	3.87545	4.27086	PRPS1	X	107628424	107651026
ENSG00000147274	21.2627	24.6463	51.4511	RBMX	X	136848004	136880764
ENSG00000147400	12.5294	5.99103	10.9852	CETN2	X	152826973	152830777
ENSG00000147403	226.324	246.567	204.837	RPL10	X	154389955	154409168
ENSG00000149970	4.9982	2.01232	3.99709	CNKSR2	X	21372801	21654695
ENSG00000155008	1.9086	1.68161	1.82673	APOOL	X	85003826	85093316
ENSG00000155959	12.6531	10.9515	13.3584	VBP1	X	155197007	155239817
ENSG00000155961	1.62463	1.1294	1.03673	RAB39B	X	155258241	155264589
ENSG00000156298	134.105	124.076	131.532	TSPAN7	X	38561370	38688920
ENSG00000156313	3.97481	7.59457	4.7846	RPGR	X	38269163	38327564
ENSG00000156504	4.78904	3.53014	5.19752	FAM122B	X	134769566	134797232
ENSG00000156531	1.14557	1.15297	1.65636	PHF6	X	134373253	134428791
ENSG00000156709	4.61674	3.99334	2.6661	AIFM1	X	130129362	130165887
ENSG00000157514	7.7305	10.0247	9.61604	TSC22D3	X	107713221	107777342
ENSG00000158290	4.35905	2.26191	2.56868	CUL4B	X	120524609	120575794
ENSG00000158526	23.4312	22.5601	32.4102	TSR2	X	54440401	54445487
ENSG00000160131	2.7595	3.71473	3.63924	VMA21	X	151396515	151409364
ENSG00000160211	5.66255	1.90305	8.83341	G6PD	X	154531390	154547572
ENSG00000165169	11.6659	7.90023	8.39381	DYNLT3	X	37836757	37847637
ENSG00000165175	14.982	17.787	19.7805	MID1IP1	X	38801432	38806537
ENSG00000165194	26.0632	3.9613	19.22	PCDH19	X	100291644	100410273
ENSG00000165195	3.14006	1.45652	1.31568	PIGA	X	15319451	15335580
ENSG00000165675	1.63975	1.79752	5.17354	ENOX2	X	130623369	130903317
ENSG00000165704	10.6444	10.8968	12.7214	HPRT1	X	134460153	134520513
ENSG00000165775	14.6534	9.8343	10.778	FUNDC2	X	155025980	155060303
ENSG00000166681	62.1397	53.1393	35.242	BEX3	X	103376340	103378077
ENSG00000167393	5.38899	5.47987	6.30212	PPP2R3B	X	333963	386955
ENSG00000169057	1.89864	17.7478	15.5538	MECP2	X	154021573	154137103
ENSG00000169093	4.07558	4.63315	3.17679	ASMTL	X	1403139	1453762
ENSG00000169100	18.6447	25.1558	24.8924	SLC25A6	X	1386152	1392724
ENSG00000169239	2.48064	6.1848	3.75631	CA5B	X	15688830	15788409
ENSG00000169249	2.1769	1.81943	5.08523	ZRSR2	X	15790472	15823260
ENSG00000169562	3.30063	2.25026	2.05013	GJB1	X	71215194	71225516
ENSG00000169891	2.0376	1.98012	4.87881	REPS2	X	16946691	17153280
ENSG00000169895	2.42629	1.16089	2.25053	SYAP1	X	16719632	16765336
ENSG00000171388	8.07386	3.39752	1.61719	APLN	X	129645259	129654937
ENSG00000171659	4.0587	3.23108	3.56132	GPR34	X	41688973	41697277
ENSG00000172465	7.01672	5.85361	4.25917	TCEAL1	X	103628704	103630953
ENSG00000173674	12.4155	8.18584	13.8969	EIF1AX	X	20124518	20141844
ENSG00000173681	5.18553	3.08309	1.11494	BCLAF3	X	19912860	19970298
ENSG00000177189	1.01587	30.8781	1.12634	RPS6KA3	X	20149911	20267519
ENSG00000177485	2.27311	1.52014	1.37843	ZBTB33	X	120250752	120258398
ENSG00000178605	4.6186	3.54683	4.55013	GTPBP6	X	304529	318819
ENSG00000178947	1.716	2.02068	1.72172	SMIM10L2A	X	135421943	135428074
ENSG00000179222	11.0255	34.382	7.1747	MAGED1	X	51803007	51902357
ENSG00000180879	34.6817	20.6521	14.1998	SSR4	X	153793516	153798505
ENSG00000180964	9.63414	7.9728	7.4902	TCEAL8	X	103252995	103255203
ENSG00000181191	5.99101	14.0608	12.1936	PJA1	X	69160851	69165793
ENSG00000181704	1.66081	2.10677	2.29392	YIPF6	X	68498323	68537285
ENSG00000182195	9.33199	11.2878	7.5359	LDOC1	X	141175745	141177125
ENSG00000182220	18.8696	18.9742	6.37513	ATP6AP2	X	40579372	40606848
ENSG00000182287	15.6755	14.3341	11.6843	AP1S2	X	15825806	15854931
ENSG00000182484	3.35908	6.33734	4.95753	WASH6P	X	156020826	156025710
ENSG00000182492	12.1533	3.79886	3.73308	BGN	X	153494939	153509554
ENSG00000182518	14.0467	4.05457	5.30234	FAM104B	X	55143102	55161310
ENSG00000182872	2.24472	3.52588	2.46562	RBM10	X	47144869	47186813
ENSG00000182916	15.6272	11.4774	20.2946	TCEAL7	X	103330196	103332326
ENSG00000183837	2.29588	3.91348	2.80508	PNMA3	X	153056409	153060467
ENSG00000184205	4.73711	5.92491	5.32765	TSPYL2	X	53082367	53088540
ENSG00000184216	4.75179	2.07826	6.41702	IRAK1	X	154010500	154019980
ENSG00000184481	8.32456	9.03464	17.8467	FOXO4	X	71096197	71103535
ENSG00000184515	17.2387	13.577	22.6403	BEX5	X	102153708	102156057
ENSG00000184785	5.22296	2.081	2.50821	SMIM10	X	134990938	134992473
ENSG00000184831	71.9528	31.0512	44.3711	APOO	X	23833353	23907934
ENSG00000184867	14.7648	1.49952	1.88703	ARMCX2	X	101655281	101659891
ENSG00000184905	16.0733	13.1188	18.7118	TCEAL2	X	102125688	102127711
ENSG00000185010	2.99795	1.53411	3.13943	F8	X	154835788	155026940
ENSG00000185222	9.32638	5.14877	3.60639	TCEAL9	X	103356489	103358462
ENSG00000185825	8.55683	12.7204	12.5008	BCAP31	X	153700492	153724746
ENSG00000185973	1.32186	5.23066	2.2069	TMLHE	X	155490115	155669944
ENSG00000186310	13.0578	8.69466	8.09082	NAP1L3	X	93670930	93673568
ENSG00000186462	7.00643	4.31672	5.10064	NAP1L2	X	73212299	73214848
ENSG00000187325	4.98209	6.29099	3.88632	TAF9B	X	78129748	78139706
ENSG00000187601	5.07587	5.53162	1.90865	MAGEH1	X	55452105	55453566
ENSG00000188021	3.51383	3.76021	2.92909	UBQLN2	X	56563639	56567868
ENSG00000188153	4.25488	24.0826	6.86496	COL4A5	X	108439844	108697545
ENSG00000188419	2.65691	2.35732	3.02288	CHM	X	85861180	86047562
ENSG00000188706	2.34017	5.25981	1.45257	ZDHHC9	X	129803288	129843909
ENSG00000189221	1.52294	3.40471	9.28468	MAOA	X	43654907	43746824
ENSG00000196338	8.91525	6.11491	10.4188	NLGN3	X	71144831	71171201
ENSG00000196459	5.89275	3.71292	1.29584	TRAPPC2	X	13712244	13734635
ENSG00000196507	12.6451	12.3561	22.632	TCEAL3	X	103607451	103629690
ENSG00000196924	55.2489	92.0758	8.54844	FLNA	X	154348524	154374638
ENSG00000196972	2.28737	2.83883	1.59735	SMIM10L2B	X	135094987	135098634
ENSG00000196976	3.61781	3.08497	3.78567	LAGE3	X	154477769	154479257
ENSG00000196998	60.8799	6.83173	64.0029	WDR45	X	49071470	49101170
ENSG00000197180	5.74086	5.82138	5.64731		X	154424380	154428479
ENSG00000198034	84.3584	77.2179	112.537	RPS4X	X	72255679	72277300
ENSG00000198157	19.855	4.76585	15.1112	HMGN5	X	81113701	81201942
ENSG00000198223	10.3592	3.15175	4.9922	CSF2RA	X	1268800	1310381
ENSG00000198689	5.50775	3.17665	5.47357	SLC9A6	X	135973841	136047269
ENSG00000198753	36.1689	41.8411	15.1295	PLXNB3	X	153764196	153779346
ENSG00000198918	349.138	273.639	295.122	RPL39	X	119786504	119791643
ENSG00000198932	1.59676	1.83243	1.56458	GPRASP1	X	102651366	102659083
ENSG00000198947	6.02326	4.90076	7.98009	DMD	X	31097677	33339441
ENSG00000198960	1.018	1.40625	3.81098	ARMCX6	X	101615118	101618001
ENSG00000203879	36.8216	24.7499	33.6219	GDI1	X	154436913	154443467
ENSG00000203930	2.73765	2.90959	6.92417	LINC00632	X	140709562	140793215
ENSG00000203950	17.2742	16.3417	16.2668	RTL8A	X	135050932	135052196
ENSG00000204065	9.43784	6.51366	8.49287	TCEAL5	X	103273691	103276872
ENSG00000204071	4.34118	3.40612	4.83555	TCEAL6	X	102140476	102142970
ENSG00000204271	2.56568	3.92006	3.82591	SPIN3	X	56818298	56995827
ENSG00000204272	26.9251	19.9915	23.2356	NBDY	X	56729241	56818380
ENSG00000205542	932.518	1097.2	875.224	TMSB4X	X	12975108	12977227
ENSG00000213397	10.7837	11.1921	18.4352	HAUS7	X	153447666	153495516
ENSG00000214717	2.89626	1.33437	2.29835	ZBED1	X	2486414	2500967
ENSG00000214827	19.9574	9.99639	7.12583	MTCP1	X	155061622	155147937
ENSG00000215301	7.47739	117.396	6.45471	DDX3X	X	41333284	41364472
ENSG00000225470	7.07805	13.0618	17.5221	JPX	X	73944184	74070408
ENSG00000226031	3.62374	5.52686	2.70398	FGF13-AS1	X	138711452	138716617
ENSG00000226179	33.5916	26.797	41.0332	LINC00685	X	320990	321851
ENSG00000230590	8.15664	9.24296	23.6312	FTX	X	73946555	74293574
ENSG00000230629	7.67829	7.29621	17.4867	RPS23P8	X	70962964	70963293
ENSG00000232119	19.6341	13.1581	5.29962	MCTS1	X	120594010	120621074
ENSG00000232593	3.09846	3.62033	2.30629	KANTR	X	53094145	53170914
ENSG00000235437	5.12772	3.89123	5.57763	LINC01278	X	63343227	63561071
ENSG00000235703	1.5752	1.22569	4.07285	LINC00894	X	149938628	150224580
ENSG00000236017	1.42579	5.96739	1.73732	ASMTL-AS1	X	1401769	1414028
ENSG00000241343	166.453	124.349	264.359	RPL36A	X	101390824	101396154
ENSG00000243279	20.1174	15.3413	8.27929	PRAF2	X	49071156	49074071
ENSG00000260081	2.00557	1.3874	1.68146		X	153599315	153613937
ENSG00000262919	3.21892	4.8078	4.81327	CCNQ	X	153587919	153600045
ENSG00000269556	3.6986	2.09109	3.00406	TMEM185A	X	149596556	149631912
ENSG00000271147	2.92511	1.40717	2.40844	ARMCX5-GPRASP2	X	102599512	102714671
ENSG00000279528	27.0775	13.1067	16.7437		X	48580741	48581165
ENSG00000279750	1.2225	3.44829	1.84028		X	52053176	52055684
ENSG00000281371	2.76601	1.72647	1.71479	INE2	X	15785716	15787589
ENSG00000283737	25.3584	24.2409	12.0463		X	42285130	42285925
